PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
,IDENTIFIABLE VICTIM,"People tend to want to help an identifiable individual person (e.g. help this particular child) more than they want to help an unidentified person or a group. However, if the group is a specific family that can help people want to help it (rather than a more ambiguous or unidentified group).",,,5. To be deleted,,"Same as #76, Specifity",,,,,Center for advanced hindsight flash cards,,,,no,,306
,FEW AND SIMPLE STEPS,"Even seemingly minor barriers (e.g., an extra button click) can greatly reduce the number of people that do a thing (e.g., with each additional minor action that has to be taken, there tends to be an additional % drop off in people). So, reduce the number and difficulty of steps needed to perform the action as much as possible.",6. Chooses,FRICTION REDUCING,0. No edits needed,,,,,,,,https://advanced-hindsight.com/resources/,,,no,"friction, chooses, reducing, reduces, tension, reduce, minimize, decides, removes, tends",307
,SELF-SIGNALING,"""A self-signaling action is an action chosen partly to secure good news about one’s traits or abilities, even
when the action has no causal impact on these traits and abilities."" For instance, an action we might take to make ourselves feel like a good person",,,5. To be deleted,,"Related to #82, #95, #113",,,,,Center for advanced hindsight flash cards,,,,no,,308
,SELF-HERDING,"We decide what to do now by remembering what we chose last time and assuming that must have been a good decision, so we do it again. So if a person can be helped to make a decision a certain way once or a few times, that may encourage them to make the decision the same way in the future.",6. Chooses,AUTOMATIC,0. No edits needed,,,,,,,,https://advanced-hindsight.com/resources/,,,no,"automatic, chooses, automatically, selects, decides, determines, choose, automated, accepts, allows",309
,PARTICIPATION,"Involve the person in decisions regarding the program, problem-solving, and change of activities in order to gain the highest level of engagement.",10. Maintains,COMMITMENT,2. Edited,,"Before: Assuring high level engagement of the participants’ group in problem solving, decision making, and change activities;
with highest level being control by the participants’ group.",,,,"Requires willingness by the health promoter or convener to accept the participants as having a high level of influence;
Requires participants’ group to possess appropriate motivation and skills.","Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"participation, commitment, involvement, commitments, contribution, participating, support, participate, engagement, devotion",310
,BELIEF SELECTION,"Using messages designed to strengthen positive beliefs, weaken negative beliefs, and introduce new beliefs.",,,4. Remove from Ten Conditions for Change,,,,,,"Requires investigation of the current attitudinal, normative and efficacy beliefs of the individual before choosing the beliefs on which to intervene.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Theory of Planned Behavior; Reasoned Action Approach;
Fishbein & Ajzen, 2010)",,,,in use,,311
,PERSUASIVE COMMUNICATION,Have the person read or listen to arguments in favor of making a behavior change.,1. Considers,AWARENESS,2. Edited,,"Previous text:
Guiding individuals and environmental agents toward the adoption of an idea, attitude, or action by using arguments or other means.",,,,Messages need to be relevant and not too discrepant from the beliefs of the individual; can be stimulated by surprise and repetition. Will include arguments.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,in use,"awareness, persuasive, educate, understanding, communication, outreach, communicating, communicate, enlighten, inform",312
,ACTIVE LEARNING,Encouraging learning from goal-driven and activity-based experience.,7. Knows,PRACTICE,0. No edits needed,,,,,,"Time, information, and skills.","Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,in use,"practice, learning, practicing, practiced, teaching, learn, active, practices, teach, training",313
,TAILORING,"Matching aspects of the intervention, or which components the intervention involves, to previously measured characteristics or capabilities of the participant.",9. Embodies,MODIFIED ACTION,0. No edits needed,,,,,,Tailoring variables or factors related to behavior change (such as stage) or to relevance (such as culture or socioeconomic status).,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no ,"designing, modifying, fits, styles, customized, customize, evolving, style, specific, design",314
,INDIVIDUALIZATION,"Providing opportunities for learners to have personal questions answered, or having instructions paced according to their progress.",9. Embodies,MODIFIED ACTION,0. No edits needed,,,,,,Personal communication that responds to a learner’s needs.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"defines, emulates, reflects, recognizes, incorporates, demonstrates, illustrates, combines, resembles, fits",315
,MODELING,Providing an appropriate model being reinforced for the desired action.,,,5. To be deleted,,"Already a ""modeling"" strategy in all the conditions that can be met this way",,,,"Attention, remembrance, self-efficacy and skills, reinforcement of model; identification with model, coping model instead of mastery model.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Social Cognitive Theory; Theories of Learning; Kazdin, 2008;
Kelder et al., 2015)",,,,in use,,316
,FEEDBACK,"Giving information to individuals and environmental agents regarding the extent to which they are accomplishing learning or performance, or the extent to which performance is having an impact.",,,5. To be deleted,,It is like feedback on behavior ,,,,"Feedback needs to be individual, follow the behavior in time, and be specific.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Theories of Learning; Goal-Setting Theory, Social Cognitive
Theory; Kazdin, 2008; Kelder et al., 2015; Latham & Locke, 2007",,,,in use,,317
